CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/24/24,19:32,Missing,,,,,EMPIRE BOULEVARD,,,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,4750742,Sedan,E-Bike,,,
8/23/24,20:05,Missing,,,,,12 AVENUE,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,,,,,4750715,Station Wagon/Sport Utility Vehicle,,,,
8/24/24,7:15,Missing,,40.79184,-73.823524,"(40.79184, -73.823524)",WHITESTONE EXPRESSWAY,,,2,0,0,0,0,0,2,0,Oversized Vehicle,Driver Inexperience,,,,4750670,Tractor Truck Diesel,Sedan,,,
8/24/24,14:30,Missing,,,,,MARCUS GARVEY BOULEVARD,,,2,0,2,0,0,0,0,0,Backing Unsafely,,,,,4750437,Sedan,,,,
1/31/24,9:30,BRONX,10454,40.80808,-73.92838,"(40.80808, -73.92838)",,,280       EAST 134 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4700544,Taxi,,,,
8/24/24,23:30,Missing,,40.67812,-74.00316,"(40.67812, -74.00316)",BROOKLYN QUEENS EXPRESSWAY,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,,,,4750533,Station Wagon/Sport Utility Vehicle,,,,
5/21/24,19:00,QUEENS,11372,40.755554,-73.885376,"(40.755554, -73.885376)",82 STREET,NORTHERN BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4727826,Station Wagon/Sport Utility Vehicle,Bus,,,
5/25/24,1:14,Missing,,40.69193,-73.91031,"(40.69193, -73.91031)",WILSON AVENUE,,,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,4727385,Sedan,,,,
7/29/24,16:12,Missing,,40.71664,-73.97561,"(40.71664, -73.97561)",FDR DRIVE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4743903,Sedan,Sedan,,,
6/2/24,14:27,BROOKLYN,11220,40.64479,-74.01433,"(40.64479, -74.01433)",53 STREET,4 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4729295,Sedan,,,,
8/23/24,6:30,Missing,,40.789204,-73.78038,"(40.789204, -73.78038)",CROSS ISLAND PARKWAY,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,,,,4750657,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
7/27/24,21:50,Missing,,,,,ANTHONY AVENUE,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4744378,Sedan,Moped,,,
